node_number;x[m];y[m];z[m]
6566.0;8.2;9.5;-0.235980404996
6567.0;8.2;9.6;-0.261561990683
6568.0;8.2;9.7;-0.287286613492
6569.0;8.2;9.8;-0.312883811338
6570.0;8.2;9.9;-0.338415244385
6571.0;8.2;10.0;-0.363974648393
6572.0;8.3;8.1;-0.0111353020056
6573.0;8.3;8.2;-0.0214574420148
6574.0;8.3;8.3;-0.0335616074244
6575.0;8.3;8.4;-0.046599690862
6576.0;8.3;8.5;-0.0599889340054
6577.0;8.3;8.6;-0.073695089328
6578.0;8.3;8.7;-0.0882646600694
6579.0;8.3;8.8;-0.104166831012
6580.0;8.3;8.9;-0.121359010434
6581.0;8.3;9.0;-0.139672276789
6582.0;8.3;9.1;-0.159290487767
6583.0;8.3;9.2;-0.180579118888
6584.0;8.3;9.3;-0.203552713996
6585.0;8.3;9.4;-0.227769100657
6586.0;8.3;9.5;-0.252683899497
6587.0;8.3;9.6;-0.277826447626
6588.0;8.3;9.7;-0.302852756076
6589.0;8.3;9.8;-0.327683692664
6590.0;8.3;9.9;-0.352467043878
6591.0;8.3;10.0;-0.377320703068
6592.0;8.4;8.1;-0.022303105641
6593.0;8.4;8.2;-0.0341850748288
6594.0;8.4;8.3;-0.0465996908618
6595.0;8.4;8.4;-0.0590920163988
6596.0;8.4;8.5;-0.0721960044267
6597.0;8.4;8.6;-0.0863866864192
6598.0;8.4;8.7;-0.101648136038
6599.0;8.4;8.8;-0.117932255354
6600.0;8.4;8.9;-0.135460907648
6601.0;8.4;9.0;-0.154513373684
6602.0;8.4;9.1;-0.175203967481
6603.0;8.4;9.2;-0.197464604152
6604.0;8.4;9.3;-0.220994827073
6605.0;8.4;9.4;-0.245230852595
6606.0;8.4;9.5;-0.269616407699
6607.0;8.4;9.6;-0.293915367744
6608.0;8.4;9.7;-0.318133531369
6609.0;8.4;9.8;-0.342310130807
6610.0;8.4;9.9;-0.366474261272
6611.0;8.4;10.0;-0.390658481721
6612.0;8.5;8.1;-0.0354726982766
6613.0;8.5;8.2;-0.0477138924523
6614.0;8.5;8.3;-0.0599889340046
6615.0;8.5;8.4;-0.0721960044262
6616.0;8.5;8.5;-0.0853313807257
6617.0;8.5;8.6;-0.100025051115
6618.0;8.5;8.7;-0.115978650798
6619.0;8.5;8.8;-0.132894322633
6620.0;8.5;8.9;-0.151103755326
6621.0;8.5;9.0;-0.171057469391
6622.0;8.5;9.1;-0.192703139085
6623.0;8.5;9.2;-0.215569406253
6624.0;8.5;9.3;-0.239126167995
6625.0;8.5;9.4;-0.26288182518
6626.0;8.5;9.5;-0.286480326848
6627.0;8.5;9.6;-0.309912156291
6628.0;8.5;9.7;-0.333362382255
6629.0;8.5;9.8;-0.356898469436
6630.0;8.5;9.9;-0.380451618985
6631.0;8.5;10.0;-0.403981465546
6632.0;8.6;8.1;-0.0498541372193
6633.0;8.6;8.2;-0.0615154042021
6634.0;8.6;8.3;-0.0736950893267
6635.0;8.6;8.4;-0.0863866864185
6636.0;8.6;8.5;-0.100025051115
6637.0;8.6;8.6;-0.115004274378
6638.0;8.6;8.7;-0.1313936444
6639.0;8.6;8.8;-0.149157789323
6640.0;8.6;8.9;-0.168422132063
6641.0;8.6;9.0;-0.189295041112
6642.0;8.6;9.1;-0.211488010022
6643.0;8.6;9.2;-0.234367964017
6644.0;8.6;9.3;-0.257395092643
6645.0;8.6;9.4;-0.280341050752
6646.0;8.6;9.5;-0.303167988097
6647.0;8.6;9.6;-0.325929876222
6648.0;8.6;9.7;-0.348719213232
6649.0;8.6;9.8;-0.371571310244
6650.0;8.6;9.9;-0.394445279925
6651.0;8.6;10.0;-0.417302236271
6652.0;8.7;8.1;-0.0648901586322
6653.0;8.7;8.2;-0.0760079422815
6654.0;8.7;8.3;-0.0882646600681
6655.0;8.7;8.4;-0.101648136037
6656.0;8.7;8.5;-0.115978650798
6657.0;8.7;8.6;-0.1313936444
6658.0;8.7;8.7;-0.148338862328
6659.0;8.7;8.8;-0.167033112605
6660.0;8.7;8.9;-0.187291015265
6661.0;8.7;9.0;-0.208758384979
6662.0;8.7;9.1;-0.23096743778
6663.0;8.7;9.2;-0.25336032738
6664.0;8.7;9.3;-0.275579318742
6665.0;8.7;9.4;-0.297666314951
6666.0;8.7;9.5;-0.319790319763
6667.0;8.7;9.6;-0.341968555807
6668.0;8.7;9.7;-0.364142666243
6669.0;8.7;9.8;-0.386302685264
6670.0;8.7;9.9;-0.408465838181
6671.0;8.7;10.0;-0.43063058726
6672.0;8.8;8.1;-0.0803757689005
6673.0;8.8;8.2;-0.0916756360553
6674.0;8.8;8.3;-0.104166831012
6675.0;8.8;8.4;-0.117932255354
6676.0;8.8;8.5;-0.132894322632
6677.0;8.8;8.6;-0.149157789323
6678.0;8.8;8.7;-0.167033112605
6679.0;8.8;8.8;-0.186590094762
6680.0;8.8;8.9;-0.207413485445
6681.0;8.8;9.0;-0.228897795209
