Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
210;1;1.050;-0.950;-3.588;-0.08;-0.08;0.00;0.02;-0.02;-2.92;-7.81;0.02
211;1;1.050;-1.050;-3.606;-0.08;-0.08;0.00;0.00;-0.02;-3.05;-7.72;0.00
212;1;1.050;-1.150;-3.625;-0.08;-0.08;0.00;-0.02;-0.01;-3.18;-7.60;-0.02
213;1;1.050;-1.250;-3.643;-0.07;-0.07;0.00;-0.04;-0.01;-3.34;-7.48;-0.04
214;1;1.050;-1.350;-3.661;-0.07;-0.07;0.00;-0.06;-0.01;-3.52;-7.34;-0.05
215;1;1.050;-1.450;-3.680;-0.07;-0.07;-0.01;-0.08;0.00;-3.72;-7.19;-0.05
216;1;1.050;-1.550;-3.698;-0.06;-0.07;-0.01;-0.10;0.00;-3.95;-7.02;-0.03
217;1;1.050;-1.650;-3.717;-0.05;-0.06;-0.01;-0.12;0.01;-4.21;-6.84;0.02
218;1;1.050;-1.750;-3.735;-0.04;-0.06;-0.01;-0.13;0.01;-4.49;-6.64;0.07
219;1;1.050;-1.850;-3.754;-0.03;-0.06;-0.01;-0.14;0.02;-4.80;-6.43;0.13
220;1;1.050;-1.950;-3.772;-0.02;-0.06;-0.01;-0.15;0.02;-5.13;-6.19;0.19
221;1;1.150;-0.050;-3.446;0.08;-0.10;0.07;0.80;0.10;-3.30;-5.44;0.67
222;1;1.150;-0.150;-3.464;0.04;-0.10;0.04;0.77;-0.10;-2.78;-6.40;0.16
223;1;1.150;-0.250;-3.482;0.00;-0.10;0.03;0.53;-0.08;-2.49;-6.95;0.05
224;1;1.150;-0.350;-3.500;-0.02;-0.09;0.02;0.35;-0.03;-2.37;-7.35;0.01
225;1;1.150;-0.450;-3.518;-0.04;-0.09;0.01;0.22;-0.01;-2.38;-7.56;0.02
226;1;1.150;-0.550;-3.535;-0.05;-0.09;0.01;0.14;-0.03;-2.48;-7.66;0.05
227;1;1.150;-0.650;-3.553;-0.06;-0.08;0.01;0.11;-0.04;-2.62;-7.72;0.07
228;1;1.150;-0.750;-3.571;-0.06;-0.08;0.01;0.09;-0.03;-2.76;-7.76;0.08
229;1;1.150;-0.850;-3.589;-0.07;-0.08;0.01;0.07;-0.03;-2.90;-7.73;0.07
230;1;1.150;-0.950;-3.607;-0.07;-0.08;0.00;0.04;-0.02;-3.04;-7.68;0.05
231;1;1.150;-1.050;-3.625;-0.08;-0.08;0.00;0.02;-0.01;-3.18;-7.60;0.03
232;1;1.150;-1.150;-3.642;-0.08;-0.07;0.00;0.00;-0.01;-3.33;-7.51;0.00
233;1;1.150;-1.250;-3.660;-0.08;-0.07;0.00;-0.02;0.00;-3.50;-7.41;-0.02
234;1;1.150;-1.350;-3.678;-0.07;-0.07;0.00;-0.04;0.00;-3.67;-7.30;-0.02
235;1;1.150;-1.450;-3.696;-0.07;-0.07;-0.01;-0.06;0.01;-3.87;-7.19;-0.01
236;1;1.150;-1.550;-3.714;-0.07;-0.07;-0.01;-0.08;0.01;-4.08;-7.06;0.03
237;1;1.150;-1.650;-3.731;-0.06;-0.07;-0.01;-0.10;0.02;-4.33;-6.92;0.08
238;1;1.150;-1.750;-3.749;-0.05;-0.07;-0.01;-0.12;0.02;-4.60;-6.76;0.16
239;1;1.150;-1.850;-3.767;-0.04;-0.07;-0.01;-0.13;0.03;-4.89;-6.57;0.24
240;1;1.150;-1.950;-3.785;-0.04;-0.07;-0.01;-0.14;0.03;-5.20;-6.35;0.32
241;1;1.250;-0.050;-3.471;0.10;-0.07;0.04;0.70;0.14;-2.83;-4.52;0.48
