Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;Querkräfte [kN/m];;Normalkräfte [kN/m];;
Nr.;Punkt;X;Y;Z;mx;my;mxy;vx;vy;nx;ny;nxy
153;1;0.750;-1.250;-3.591;-0.07;0.00;-0.02;-0.11;0.11;-0.25;-18.22;-1.38
154;1;0.750;-1.350;-3.612;-0.06;-0.01;-0.02;-0.13;0.11;-0.03;-17.61;-1.34
155;1;0.750;-1.450;-3.632;-0.05;-0.01;-0.02;-0.15;0.11;0.14;-17.03;-1.22
156;1;0.750;-1.550;-3.652;-0.05;-0.02;-0.02;-0.17;0.12;0.27;-16.46;-1.04
157;1;0.750;-1.650;-3.673;-0.04;-0.03;-0.02;-0.17;0.12;0.36;-15.85;-0.84
158;1;0.750;-1.750;-3.693;-0.03;-0.03;-0.02;-0.18;0.12;0.42;-15.24;-0.59
159;1;0.750;-1.850;-3.713;-0.03;-0.04;-0.02;-0.19;0.12;0.47;-14.59;-0.32
160;1;0.750;-1.950;-3.734;-0.02;-0.05;-0.01;-0.19;0.12;0.52;-13.93;-0.02
161;1;0.850;-0.050;-3.372;-0.07;-0.16;0.26;2.10;-0.69;-18.57;-30.34;15.94
162;1;0.850;-0.150;-3.392;-0.14;-0.08;0.18;1.53;-0.59;-13.18;-28.31;11.68
163;1;0.850;-0.250;-3.412;-0.16;-0.03;0.11;1.00;-0.46;-9.02;-26.66;8.36
164;1;0.850;-0.350;-3.431;-0.16;0.01;0.07;0.61;-0.36;-6.03;-25.25;5.79
165;1;0.850;-0.450;-3.451;-0.14;0.02;0.04;0.36;-0.28;-4.00;-24.04;3.86
166;1;0.850;-0.550;-3.471;-0.12;0.03;0.02;0.20;-0.22;-2.65;-22.91;2.37
167;1;0.850;-0.650;-3.490;-0.10;0.03;0.01;0.10;-0.12;-1.86;-21.83;1.32
168;1;0.850;-0.750;-3.510;-0.09;0.03;0.00;0.04;-0.03;-1.33;-20.98;0.55
169;1;0.850;-0.850;-3.530;-0.08;0.02;0.00;0.00;0.04;-0.94;-20.17;-0.02
170;1;0.850;-0.950;-3.550;-0.08;0.01;-0.01;-0.02;0.08;-0.60;-19.46;-0.42
171;1;0.850;-1.050;-3.569;-0.08;0.01;-0.01;-0.04;0.10;-0.30;-18.81;-0.68
172;1;0.850;-1.150;-3.589;-0.08;0.00;-0.01;-0.07;0.11;-0.02;-18.21;-0.83
173;1;0.850;-1.250;-3.609;-0.08;-0.01;-0.02;-0.09;0.12;0.23;-17.64;-0.87
174;1;0.850;-1.350;-3.628;-0.07;-0.01;-0.02;-0.11;0.12;0.43;-17.09;-0.85
175;1;0.850;-1.450;-3.648;-0.07;-0.02;-0.02;-0.13;0.12;0.59;-16.58;-0.74
176;1;0.850;-1.550;-3.668;-0.06;-0.03;-0.02;-0.15;0.12;0.70;-16.06;-0.57
177;1;0.850;-1.650;-3.687;-0.05;-0.04;-0.02;-0.16;0.13;0.78;-15.53;-0.37
178;1;0.850;-1.750;-3.707;-0.05;-0.04;-0.02;-0.17;0.13;0.85;-14.99;-0.13
179;1;0.850;-1.850;-3.727;-0.04;-0.05;-0.02;-0.18;0.13;0.91;-14.43;0.14
180;1;0.850;-1.950;-3.746;-0.03;-0.06;-0.01;-0.18;0.13;0.97;-13.83;0.43
181;1;0.950;-0.050;-3.397;-0.01;-0.09;0.21;1.69;-0.57;-16.20;-28.22;14.71
182;1;0.950;-0.150;-3.416;-0.06;-0.04;0.14;1.20;-0.45;-11.32;-26.39;10.79
183;1;0.950;-0.250;-3.435;-0.09;0.00;0.10;0.79;-0.33;-7.69;-24.96;7.86
184;1;0.950;-0.350;-3.454;-0.10;0.02;0.06;0.50;-0.25;-5.14;-23.76;5.62
185;1;0.950;-0.450;-3.473;-0.09;0.03;0.04;0.32;-0.20;-3.40;-22.71;3.91
186;1;0.950;-0.550;-3.492;-0.08;0.03;0.03;0.19;-0.11;-2.28;-21.66;2.63
187;1;0.950;-0.650;-3.511;-0.08;0.03;0.02;0.11;-0.02;-1.54;-20.83;1.65
188;1;0.950;-0.750;-3.530;-0.08;0.02;0.01;0.06;0.04;-1.02;-20.07;0.93
189;1;0.950;-0.850;-3.550;-0.08;0.01;0.00;0.03;0.08;-0.59;-19.37;0.38
190;1;0.950;-0.950;-3.569;-0.08;0.01;0.00;0.01;0.10;-0.22;-18.73;-0.01
191;1;0.950;-1.050;-3.588;-0.08;0.00;-0.01;-0.02;0.11;0.11;-18.15;-0.27
192;1;0.950;-1.150;-3.607;-0.08;-0.01;-0.01;-0.04;0.12;0.39;-17.61;-0.43
193;1;0.950;-1.250;-3.626;-0.08;-0.02;-0.01;-0.07;0.12;0.64;-17.10;-0.49
194;1;0.950;-1.350;-3.645;-0.08;-0.02;-0.01;-0.09;0.12;0.84;-16.61;-0.47
195;1;0.950;-1.450;-3.664;-0.08;-0.03;-0.02;-0.11;0.13;0.98;-16.16;-0.37
196;1;0.950;-1.550;-3.683;-0.07;-0.04;-0.02;-0.12;0.13;1.09;-15.70;-0.21
197;1;0.950;-1.650;-3.702;-0.07;-0.05;-0.02;-0.14;0.13;1.18;-15.23;-0.01
198;1;0.950;-1.750;-3.721;-0.06;-0.06;-0.02;-0.15;0.13;1.26;-14.76;0.23
199;1;0.950;-1.850;-3.740;-0.06;-0.06;-0.01;-0.16;0.13;1.33;-14.26;0.51
200;1;0.950;-1.950;-3.759;-0.05;-0.07;-0.01;-0.17;0.13;1.40;-13.72;0.80
201;1;1.050;-0.050;-3.422;0.03;-0.04;0.16;1.35;-0.45;-14.02;-26.16;13.43
202;1;1.050;-0.150;-3.440;-0.02;-0.01;0.11;0.93;-0.34;-9.66;-24.64;9.90
203;1;1.050;-0.250;-3.459;-0.05;0.02;0.08;0.61;-0.25;-6.56;-23.46;7.33
204;1;1.050;-0.350;-3.477;-0.06;0.03;0.06;0.41;-0.19;-4.39;-22.46;5.36
205;1;1.050;-0.450;-3.495;-0.06;0.03;0.04;0.27;-0.11;-2.94;-21.48;3.90
206;1;1.050;-0.550;-3.514;-0.06;0.03;0.03;0.17;-0.02;-1.95;-20.66;2.74
207;1;1.050;-0.650;-3.532;-0.07;0.02;0.02;0.12;0.04;-1.27;-19.92;1.86
208;1;1.050;-0.750;-3.551;-0.07;0.02;0.01;0.08;0.08;-0.72;-19.25;1.17
209;1;1.050;-0.850;-3.569;-0.08;0.01;0.01;0.05;0.10;-0.27;-18.64;0.65
210;1;1.050;-0.950;-3.588;-0.08;0.00;0.00;0.03;0.11;0.13;-18.07;0.27
211;1;1.050;-1.050;-3.606;-0.09;-0.01;0.00;0.00;0.12;0.47;-17.54;0.01
212;1;1.050;-1.150;-3.625;-0.09;-0.02;-0.01;-0.02;0.13;0.76;-17.07;-0.14
213;1;1.050;-1.250;-3.643;-0.09;-0.02;-0.01;-0.04;0.13;1.00;-16.61;-0.21
