element_number;x[m];y[m];z_middle[m];t[mm]
509.0;0.15;1.35;0.348908282503;83.1684555411
510.0;0.15;1.45;0.372503960972;78.6000551118
511.0;0.15;1.55;0.394074433114;69.7098611245
512.0;0.15;1.65;0.416581421174;62.1725917774
513.0;0.15;1.75;0.441970715272;60.2495282726
514.0;0.15;1.85;0.468831498551;61.4968074416
515.0;0.15;1.95;0.495465003591;62.4638743118
516.0;0.25;0.05;0.154896143899;309.380320209
517.0;0.25;0.15;0.16227436796;292.500027979
518.0;0.25;0.25;0.17716740394;262.013639477
519.0;0.25;0.35;0.190380296565;235.258135036
520.0;0.25;0.45;0.202159079746;212.971088435
521.0;0.25;0.55;0.214952547647;189.35225824
522.0;0.25;0.65;0.22915695364;166.008292468
523.0;0.25;0.75;0.244608796401;145.127983002
524.0;0.25;0.85;0.26119494548;127.276618621
525.0;0.25;0.95;0.278630074829;111.401971407
526.0;0.25;1.05;0.297112521205;97.4065892972
527.0;0.25;1.15;0.317225783662;86.465228869
528.0;0.25;1.25;0.33887855532;78.6473867606
529.0;0.25;1.35;0.36182592515;73.4511058318
530.0;0.25;1.45;0.386353835545;71.2825602166
531.0;0.25;1.55;0.412254168448;71.937097979
532.0;0.25;1.65;0.438134576814;72.7558245285
533.0;0.25;1.75;0.463301175987;72.1543786783
534.0;0.25;1.85;0.488512674745;71.5554021213
535.0;0.25;1.95;0.513752256337;71.0664610049
536.0;0.35;0.05;0.164240117873;289.883041722
537.0;0.35;0.15;0.175226924163;266.566700573
538.0;0.35;0.25;0.190372356373;235.239643976
539.0;0.35;0.35;0.203240606336;209.29822694
540.0;0.35;0.45;0.214264081336;187.854006222
541.0;0.35;0.55;0.226654521912;166.958694524
542.0;0.35;0.65;0.241236956063;145.628642067
543.0;0.35;0.75;0.257260049116;126.450329769
544.0;0.35;0.85;0.274324534471;110.635101393
545.0;0.35;0.95;0.292602987531;97.8843790736
546.0;0.35;1.05;0.312350771356;87.8358905579
547.0;0.35;1.15;0.333371255399;80.1002722605
548.0;0.35;1.25;0.355143771052;73.9091303235
549.0;0.35;1.35;0.377926724913;69.7027375356
550.0;0.35;1.45;0.402719755866;69.3216784821
551.0;0.35;1.55;0.42928487117;72.5333286699
552.0;0.35;1.65;0.45567454297;75.73633175
553.0;0.35;1.75;0.480668854152;76.280640006
554.0;0.35;1.85;0.504886407404;75.1557284698
555.0;0.35;1.95;0.529089184317;73.9278275642
556.0;0.45;0.05;0.178525191953;262.879165072
557.0;0.45;0.15;0.190467373352;237.949192579
558.0;0.45;0.25;0.202159053681;212.969210091
559.0;0.45;0.35;0.21426874878;187.863299594
560.0;0.45;0.45;0.226780386546;165.912521956
561.0;0.45;0.55;0.240389210393;146.272294014
562.0;0.45;0.65;0.255497204254;127.875199515
563.0;0.45;0.75;0.271698987559;111.141116096
564.0;0.45;0.85;0.2888831886;97.0825218832
565.0;0.45;0.95;0.307595117322;86.4807096492
566.0;0.45;1.05;0.328101156857;79.2342811596
567.0;0.45;1.15;0.350023632493;74.5672192461
568.0;0.45;1.25;0.372988860847;72.0030827255
569.0;0.45;1.35;0.39674866375;71.1732733636
570.0;0.45;1.45;0.420912182467;71.2463883017
571.0;0.45;1.55;0.445111669767;71.3594890286
572.0;0.45;1.65;0.469284570853;71.3906663504
573.0;0.45;1.75;0.493351573092;71.2655692791
574.0;0.45;1.85;0.517118572017;70.5730450674
575.0;0.45;1.95;0.540871923682;69.7987914215
576.0;0.55;0.05;0.19336611559;237.179917966
577.0;0.55;0.15;0.204949446666;212.366584908
578.0;0.55;0.25;0.21495489101;189.357279753
579.0;0.55;0.35;0.226663849207;166.977113056
580.0;0.55;0.45;0.240394181317;146.281817571
581.0;0.55;0.55;0.255136847761;128.08741036
582.0;0.55;0.65;0.270651936049;111.916796225
583.0;0.55;0.75;0.287132682274;97.7879404761
584.0;0.55;0.85;0.304905135538;86.4446659879
585.0;0.55;0.95;0.324376629153;78.567286936
586.0;0.55;1.05;0.345587333578;73.9972485862
587.0;0.55;1.15;0.368141897438;71.9595037197
588.0;0.55;1.25;0.391603339355;71.7766982478
589.0;0.55;1.35;0.415351258964;72.3710177112
590.0;0.55;1.45;0.438555350915;72.0423157626
591.0;0.55;1.55;0.461023009583;70.1705345465
592.0;0.55;1.65;0.483487587837;68.1406047045
593.0;0.55;1.75;0.506457251985;67.1008448635
594.0;0.55;1.85;0.52967129995;66.6041451693
595.0;0.55;1.95;0.552960789571;66.2608838237
596.0;0.65;0.05;0.207929788209;213.309248662
597.0;0.65;0.15;0.218882335355;189.325532239
598.0;0.65;0.25;0.229157603615;166.009725973
599.0;0.65;0.35;0.241243234354;145.642136594
600.0;0.65;0.45;0.255500327364;127.882185986
601.0;0.65;0.55;0.270651449979;111.916273198
602.0;0.65;0.65;0.286420144099;97.9222124195
603.0;0.65;0.75;0.303539297678;86.6633128996
604.0;0.65;0.85;0.322462045052;78.870177436
605.0;0.65;0.95;0.343020976921;74.3027855843
606.0;0.65;1.05;0.364820730976;72.2343656063
607.0;0.65;1.15;0.387397430155;71.7404935558
608.0;0.65;1.25;0.410241803452;71.8353909689
609.0;0.65;1.35;0.432960583915;71.750292463
610.0;0.65;1.45;0.455371754759;71.0831556511
611.0;0.65;1.55;0.477534150398;69.8947206451
612.0;0.65;1.65;0.499674599084;68.6139509248
613.0;0.65;1.75;0.521998209221;67.6742631079
614.0;0.65;1.85;0.544536213026;67.1747995567
