element_number;x[m];y[m];t[mm]
357.0;1.75;-1.65;64.6166885935
358.0;1.75;-1.75;64.1874367266
359.0;1.75;-1.85;63.6105623063
360.0;1.75;-1.95;63.042375322
361.0;1.85;-0.05;62.0478388167
362.0;1.85;-0.15;61.4721038009
363.0;1.85;-0.25;71.5278850534
364.0;1.85;-0.35;75.127690017
365.0;1.85;-0.45;70.5455077467
366.0;1.85;-0.55;66.5769509452
367.0;1.85;-0.65;67.1476492699
368.0;1.85;-0.75;68.9183808608
369.0;1.85;-0.85;68.6924846452
370.0;1.85;-0.95;67.1675865783
371.0;1.85;-1.05;66.2491777755
372.0;1.85;-1.15;66.2032322214
373.0;1.85;-1.25;66.1280615673
374.0;1.85;-1.35;65.5854879941
375.0;1.85;-1.45;64.9040243082
376.0;1.85;-1.55;64.4185438862
377.0;1.85;-1.65;64.0541447257
378.0;1.85;-1.75;63.6105796858
379.0;1.85;-1.85;63.0877432316
380.0;1.85;-1.95;62.5679260888
381.0;1.95;-0.05;62.6714901613
382.0;1.95;-0.15;62.438014748
383.0;1.95;-0.25;71.0387272671
384.0;1.95;-0.35;73.9001396746
385.0;1.95;-0.45;69.7717027831
386.0;1.95;-0.55;66.2340810349
387.0;1.95;-0.65;66.7632421442
388.0;1.95;-0.75;68.3734262985
389.0;1.95;-0.85;68.112702072
390.0;1.95;-0.95;66.6190448652
391.0;1.95;-1.05;65.7137436172
392.0;1.95;-1.15;65.6685316181
393.0;1.95;-1.25;65.5994365843
394.0;1.95;-1.35;65.0562365976
395.0;1.95;-1.45;64.354727772
396.0;1.95;-1.55;63.8409634155
397.0;1.95;-1.65;63.4655134105
398.0;1.95;-1.75;63.0424216177
399.0;1.95;-1.85;62.5679315034
400.0;1.95;-1.95;62.1775596317
401.0;0.2;-2.2;65.5601938305
402.0;0.2;-2.6;64.2941392701
403.0;0.2;-3.0;62.843236608
404.0;0.2;-3.4;61.374955453
405.0;0.2;-3.8;60.3270304152
406.0;0.6;-2.2;65.1804609097
407.0;0.6;-2.6;63.4754508601
408.0;0.6;-3.0;61.7382451874
409.0;0.6;-3.4;60.4327981247
410.0;0.6;-3.8;60.3898822723
411.0;1.0;-2.2;64.7892168427
412.0;1.0;-2.6;62.7189540101
413.0;1.0;-3.0;61.0779946684
414.0;1.0;-3.4;60.7086493394
